OLD OI,Lot,Top-3,O-Cost,Cost,O-Avg,Symbol,D.QTY,QTY,% Top-3,% O-Cost,% Cost,% Avg,Current,Diff
2557,300,2277.4049662783573,2219.7562875855183,2237.8717860946294,2302.510641994614,LALPATHLAB,0.0,0.0,0.050296295747886854,0.008161030384473337,0.06885033131154329,0.03884427562424046,2391.95,2391.95,False
6489,1700,395.71926897181567,395.823170770619,395.83196553139106,395.984866975836,LAURUSLABS,0.0,0.0,-0.013821083279634796,2.2218913447956258e-05,-0.014101856387210827,-0.014482540758775867,390.25,390.25,False
9771,2000,452.0584912536443,440.4916469558415,443.9219686528414,465.08041355542787,LICHSGFIN,0.0,0.0,0.008829628960815397,0.007787484100337051,0.0273201873382461,-0.01941688639689751,456.05,456.05,False
28441,300,2892.603324667139,2809.0959624770235,2814.940748590973,2926.014213442544,LT,0.0,0.0,0.004026364497870147,0.0020806644529137,0.03172686723645292,-0.007438177621474326,2904.25,2904.25,False
9934,150,5394.284981403103,5332.009656672134,5348.370190319163,5542.7159953298315,LTIM,0.0,0.0,0.003144998578195982,0.0030683615935609937,0.011756817019632012,-0.023718695931850334,5411.25,5411.25,False
3317,200,4592.488918174194,4497.266097409022,4514.940659782754,4704.742227469501,LTTS,0.0,0.0,0.01120548851455153,0.003930068177178631,0.028573872823270646,-0.01292147891005686,4643.95,4643.95,False
7845,850,1136.8617274308635,1124.2456337418205,1125.5224607789003,1156.183945401365,LUPIN,0.0,0.0,-0.006695385416892252,0.0011357189200994512,0.003311830150879572,-0.023295553885255678,1129.25,1129.25,False
21394,700,1572.3832187488133,1569.9492280400043,1569.3739870603501,1561.5532712642705,M&M,0.0,0.0,0.008469170296655323,-0.0003664073776273078,0.010402882343061345,0.015463275688430261,1585.7,1585.7,False
9413,4000,294.9147723286325,293.30842696629213,293.51538269882406,299.5444444444444,M&MFIN,0.0,0.0,0.0058838275806470525,0.0007055908167129059,0.010679567361525139,-0.00966282132126563,296.65,296.65,False
11183,6000,154.05028457299034,152.28297726957283,152.1729167326513,142.41098484848484,MANAPPURAM,0.0,0.0,-0.11003085531438374,-0.000722736965712898,-0.09905124417857164,-0.037293365073876567,137.1,137.1,False
9493,1200,566.4738032095743,573.6342711153386,574.4874459313328,584.8154709182168,MARICO,0.0,0.0,0.014698290977006222,0.0014873149303567936,0.0005440572650991007,-0.01712586519383892,574.8,574.8,False
26768,100,10209.270028919183,10134.89379450786,10151.636834058567,10540.091077273373,MARUTI,0.0,0.0,0.009494309662321555,0.001652019240673277,0.015225442799813046,-0.022190612543917222,10306.2,10306.2,False
14718,700,1046.104232425242,1036.1938769695803,1037.8272161440063,1055.8288226322557,MCDOWELL-N,0.0,0.0,-0.02624426091995941,0.001576287228412184,-0.018478235919904207,-0.03521292640938353,1018.65,1018.65,False
7211,400,1730.240814718956,1712.5904579696282,1713.809719934102,1753.5783931357257,MCX,0.0,0.0,0.014049596492146378,0.0007119401832469319,0.02377176391989677,0.0005540709603160776,1754.55,1754.55,False
4237,400,1393.1188618323692,1391.24637406987,1396.6116419656782,1465.4856988667027,METROPOLIS,0.0,0.0,0.02324362913659775,0.0038564469930031614,0.020684603483372428,-0.027284946484039157,1425.5,1425.5,False
8040,800,933.2579459674217,930.2820358140716,930.8947123631884,942.8417533432392,MFSL,0.0,0.0,-0.006384029188463786,0.0006585922607660438,-0.00386156706601423,-0.01648394684275438,927.3,927.3,False
3071,800,1042.1135573220718,1035.6292409743367,1035.8251716584525,1041.8391188251,MGL,0.0,0.0,-0.02150778786495017,0.00018918998842822385,-0.015567464568016408,-0.021250036042097055,1019.7,1019.7,False
11095,7100,98.57797968730615,98.56307709492367,98.55908206277613,98.42493365993059,MOTHERSON,0.0,0.0,-0.0220939777241814,-4.053274578365208e-05,-0.021906474954798364,-0.020573380998426267,96.4,96.4,False
9434,275,2390.7620706938114,2425.970056428339,2428.820295340581,2482.44705238307,MPHASIS,0.0,0.0,0.04251277471400272,0.001174886270623872,0.026177195892750655,0.004009329265401862,2492.4,2492.4,False
3802,10,109535.61049254576,108992.75708273135,109132.33607720696,110442.4528301887,MRF,0.0,0.0,-0.005238574833933196,0.00128062632978137,-0.0015626539606584304,-0.013406555108525935,108961.8,108961.8,False
